"Reactive Agent","Reactive Agent"
"-709.0","1513.0"
"-710.0","1512.0"
"-711.0","1511.0"
"-712.0","1510.0"
"-713.0","1509.0"
"-714.0","1508.0"
"-715.0","1507.0"
"-716.0","1506.0"
"-717.0","1505.0"
"-718.0","1504.0"
"-719.0","1503.0"
"-720.0","1502.0"
"-721.0","1501.0"
"-722.0","1500.0"
"-723.0","1499.0"
"-724.0","1498.0"
"-725.0","1497.0"
"-726.0","1496.0"
"-727.0","1495.0"
"-728.0","1494.0"
"-729.0","1493.0"
"-730.0","1492.0"
"-731.0","1491.0"
"-732.0","1490.0"
"-733.0","1489.0"
"-734.0","1488.0"
"-735.0","1487.0"
"-736.0","1486.0"
"-737.0","1485.0"
"-738.0","1484.0"
"-739.0","1483.0"
"-740.0","1482.0"
"-741.0","1481.0"
"-742.0","1480.0"
"-743.0","1479.0"
"-744.0","1478.0"
"-745.0","1477.0"
"-746.0","1476.0"
"-747.0","1475.0"
"-748.0","1474.0"
"-749.0","1473.0"
"-750.0","1472.0"
"-751.0","1471.0"
"-752.0","1470.0"
"-753.0","1469.0"
"-754.0","1468.0"
"-755.0","1467.0"
"-756.0","1466.0"
"-757.0","1465.0"
"-758.0","1464.0"
"-759.0","1463.0"
"-760.0","1462.0"
"-761.0","1461.0"
"-762.0","1460.0"
"-763.0","1459.0"
"-764.0","1458.0"
"-765.0","1457.0"
"-766.0","1456.0"
"-767.0","1455.0"
"-768.0","1454.0"
"-769.0","1453.0"
"-770.0","1452.0"
"-771.0","1451.0"
"-772.0","1450.0"
"-773.0","1449.0"
"-774.0","1448.0"
"-775.0","1447.0"
"-776.0","1446.0"
"-777.0","1445.0"
"-778.0","1444.0"
"-779.0","1443.0"
"-780.0","1442.0"
"-781.0","1441.0"
"-782.0","1440.0"
"-783.0","1439.0"
"-784.0","1438.0"
"-785.0","1437.0"
"-786.0","1436.0"
"-787.0","1435.0"
"-788.0","1434.0"
"-789.0","1433.0"
"-790.0","1432.0"
"-791.0","1431.0"
"-792.0","1430.0"
"-793.0","1429.0"
"-794.0","1428.0"
"-795.0","1427.0"
"-796.0","1426.0"
"-797.0","1425.0"
"-798.0","1424.0"
"-799.0","1423.0"
"-800.0","1422.0"
"-801.0","1421.0"
"-802.0","1420.0"
"-803.0","1419.0"
"-804.0","1418.0"
"-805.0","1417.0"
"-806.0","1416.0"
"-807.0","1415.0"
"-808.0","1414.0"
"-809.0","1413.0"
"-810.0","1412.0"
"-811.0","1411.0"
"-812.0","1410.0"
"-813.0","1409.0"
"-814.0","1408.0"
"-815.0","1407.0"
"-816.0","1406.0"
"-817.0","1405.0"
"-818.0","1404.0"
"-819.0","1403.0"
"-820.0","1402.0"
"-821.0","1401.0"
"-822.0","1400.0"
"-823.0","1399.0"
"-824.0","1398.0"
"-825.0","1397.0"
"-826.0","1396.0"
"-827.0","1395.0"
"-828.0","1394.0"
"-829.0","1393.0"
"-830.0","1392.0"
"-831.0","1391.0"
"-832.0","1390.0"
"-833.0","1389.0"
"-834.0","1388.0"
"-835.0","1387.0"
"-836.0","1386.0"
"-837.0","1385.0"
"-838.0","1384.0"
"-839.0","1383.0"
"-840.0","1382.0"
"-841.0","1381.0"
"-842.0","1380.0"
"-843.0","1379.0"
"-844.0","1378.0"
"-845.0","1377.0"
"-846.0","1376.0"
"-847.0","1375.0"
"-848.0","1374.0"
"-849.0","1373.0"
"-850.0","1372.0"
"-851.0","1371.0"
"-852.0","1370.0"
"-853.0","1369.0"
"-854.0","1368.0"
"-855.0","1367.0"
"-856.0","1366.0"
"-857.0","1365.0"
"-858.0","1364.0"
"-859.0","1363.0"
"-860.0","1362.0"
"-861.0","1361.0"
"-862.0","1360.0"
"-863.0","1359.0"
"-864.0","1358.0"
"-865.0","1357.0"
"-866.0","1356.0"
"-867.0","1355.0"
"-868.0","1354.0"
"-869.0","1353.0"
"-870.0","1352.0"
"-871.0","1351.0"
"-872.0","1350.0"
"-873.0","1349.0"
"-874.0","1348.0"
"-875.0","1347.0"
"-876.0","1346.0"
"-877.0","1345.0"
"-878.0","1344.0"
"-879.0","1343.0"
"-880.0","1342.0"
"-881.0","1341.0"
"-882.0","1340.0"
"-883.0","1339.0"
"-884.0","1338.0"
"-885.0","1337.0"
"-886.0","1336.0"
"-887.0","1335.0"
"-888.0","1334.0"
"-889.0","1333.0"
"-890.0","1332.0"
"-891.0","1331.0"
"-892.0","1330.0"
"-893.0","1329.0"
"-894.0","1328.0"
"-895.0","1327.0"
"-896.0","1326.0"
"-897.0","1325.0"
"-898.0","1324.0"
"-899.0","1323.0"
"-900.0","1322.0"
"-901.0","1321.0"
"-902.0","1320.0"
"-903.0","1319.0"
"-904.0","1318.0"
"-905.0","1317.0"
"-906.0","1316.0"
"-907.0","1315.0"
"-908.0","1314.0"
"-909.0","1313.0"
"-910.0","1312.0"
"-911.0","1311.0"
"-912.0","1310.0"
"-913.0","1309.0"
"-914.0","1308.0"
"-915.0","1307.0"
"-916.0","1306.0"
"-917.0","1305.0"
"-918.0","1304.0"
"-919.0","1303.0"
"-920.0","1302.0"
